Temperature,Energy,CV,CV_error
1.0,-4738.912,0.129293,0.008937
1.1,-4714.932,0.084309,0.004286
1.2,-4693.14,0.105297,0.004744
1.3,-4661.616,0.145908,0.006308
1.4,-4619.672,0.211694,0.010052
1.5,-4566.74,0.265847,0.012422
1.6,-4483.74,0.312582,0.013445
1.7,-4414.172,0.341424,0.016213
1.8,-4299.176,0.44845,0.018324
1.9,-4157.772,0.61176,0.028141
2.0,-3999.272,0.633432,0.026276
2.1,-3800.432,0.960119,0.047702
2.2,-3530.864,0.953046,0.041416
2.3,-3240.436,1.075581,0.046725
2.4,-2972.164,0.98017,0.044183
2.5,-2739.036,0.839515,0.038423
2.6,-2549.52,0.713244,0.034077
2.7,-2395.072,0.563527,0.025577
2.8,-2253.676,0.492016,0.020888
2.9,-2132.1,0.448904,0.018796
3.0,-2042.734177,0.492747,0.022282
