Temperature,Energy,CV,CV_error
1.0,-4733.56,0.072819,0.003918
1.1,-4716.672,0.088266,0.003848
1.2,-4688.688,0.1213,0.005406
1.3,-4656.944,0.144505,0.007531
1.4,-4617.364,0.180169,0.008208
1.5,-4554.692,0.259266,0.010337
1.6,-4495.62,0.2995,0.013623
1.7,-4419.136,0.367584,0.016054
1.8,-4296.344,0.494761,0.020246
1.9,-4184.728,0.578675,0.027031
2.0,-4010.224,0.67803,0.030295
2.1,-3792.504,1.060995,0.048506
2.2,-3548.256,1.135521,0.054869
2.3,-3216.732,1.166389,0.054742
2.4,-2968.232,1.075125,0.047329
2.5,-2735.808,0.85455,0.036835
2.6,-2556.532,0.713488,0.031568
2.7,-2389.432,0.606383,0.02816
2.8,-2259.468,0.518946,0.023145
2.9,-2138.988,0.454882,0.019854
3.0,-2033.096,0.400719,0.018005
