h,mag,stag_mag,energy
0.0,2,706,24.0
0.0,2,938,72.0
0.0,-16,1104,48.0
0.0,2,1186,40.0
0.0,0,1416,60.0
0.0,-8,1612,56.0
0.0,-2,1754,44.0
0.0,-6,1870,48.0
0.0,12,1948,36.0
0.0,-6,2054,48.0
0.0,-4,2144,20.0
0.0,-2,2210,12.0
0.0,0,2316,16.0
0.0,-2,2342,8.0
0.0,6,2362,12.0
0.0,-2,2410,4.0
0.0,0,2472,8.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2496,0.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,2,2494,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2492,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,-4,2496,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2496,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,4,2496,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2494,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,-2,2494,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,2,2494,-4.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2496,4.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,-4,2492,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,2,2494,-4.0
0.0,0,2500,0.0
0.0,2,2494,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,0,2496,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-4,2496,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,2,2494,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,4,2496,0.0
0.0,0,2500,0.0
0.0,4,2496,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-4,2496,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2494,-4.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2494,0.0
0.0,-4,2496,0.0
0.0,0,2500,0.0
0.0,0,2496,4.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,4,2496,0.0
0.0,-2,2498,0.0
0.0,0,2496,0.0
0.0,-2,2498,0.0
0.0,-2,2494,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2494,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,0,2496,-4.0
0.0,2,2498,0.0
0.0,0,2496,0.0
0.0,-2,2494,0.0
0.0,-6,2494,0.0
0.0,2,2494,0.0
0.0,-2,2498,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2496,4.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,-2,2494,0.0
0.0,4,2496,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,2,2490,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-4,2496,0.0
0.0,2,2498,0.0
0.0,-6,2494,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2494,0.0
0.0,2,2498,0.0
0.0,-4,2496,0.0
0.0,-2,2498,0.0
0.0,0,2496,-4.0
0.0,2,2498,0.0
0.0,4,2496,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,2,2494,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,4,2496,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,4,2496,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,-4,2496,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,-4,2496,0.0
0.0,2,2498,0.0
0.0,-2,2494,0.0
0.0,4,2496,0.0
0.0,0,2492,0.0
0.0,0,2496,0.0
0.0,2,2494,4.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2490,-4.0
0.0,2,2498,0.0
0.0,4,2496,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2496,4.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2496,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2496,0.0
0.0,6,2494,0.0
0.0,-2,2498,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,4,2496,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,0,2496,-4.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,-2,2498,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,-2,2494,0.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,4,2496,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,4,2496,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2494,-4.0
0.0,-2,2494,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2496,-4.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,-2,2494,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,6,2490,-4.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,-4,2496,0.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,0,2496,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,2,2494,-4.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
0.0,-2,2498,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,0,2496,0.0
0.0,2,2498,0.0
0.0,0,2500,0.0
0.0,-2,2494,4.0
0.0,4,2496,0.0
0.0,0,2500,0.0
0.0,2,2498,0.0
0.0,2,2498,0.0
0.0,0,2496,0.0
0.0,0,2500,0.0
0.0,0,2500,0.0
0.0,-2,2498,0.0
